"function","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.031107,1,0,0,0,0
0.029419,1,0.17678,0.125,0.125,0
0.027733,1,0.35355,0.25,0.25,0
0.026048,1,0.53033,0.375,0.375,0
0.024366,1,0.70711,0.5,0.5,0
0.022684,1,0.88388,0.625,0.625,0
0.021005,1,1.0607,0.75,0.75,0
0.019327,1,1.2374,0.875,0.875,0
0.01765,1,1.4142,1,1,0
0.015965,1,1.591,1.125,1.125,0
0.014281,1,1.7678,1.25,1.25,0
0.012599,1,1.9445,1.375,1.375,0
0.010919,1,2.1213,1.5,1.5,0
0.0092406,1,2.2981,1.625,1.625,0
0.0075638,1,2.4749,1.75,1.75,0
0.0058886,1,2.6517,1.875,1.875,0
0.0042151,1,2.8284,2,2,0
0.0026112,1,3.0052,2.125,2.125,0
0.001009,1,3.182,2.25,2.25,0
-0.00059164,1,3.3588,2.375,2.375,0
-0.0021906,1,3.5355,2.5,2.5,0
-0.003788,1,3.7123,2.625,2.625,0
-0.0053837,1,3.8891,2.75,2.75,0
-0.0069778,1,4.0659,2.875,2.875,0
-0.0085703,1,4.2426,3,3,0
-0.010023,1,4.4194,3.125,3.125,0
-0.011474,1,4.5962,3.25,3.25,0
-0.012924,1,4.773,3.375,3.375,0
-0.014372,1,4.9497,3.5,3.5,0
-0.015819,1,5.1265,3.625,3.625,0
-0.017264,1,5.3033,3.75,3.75,0
-0.018708,1,5.4801,3.875,3.875,0
-0.020151,1,5.6569,4,4,0
-0.021394,1,5.8336,4.125,4.125,0
-0.022636,1,6.0104,4.25,4.25,0
-0.023876,1,6.1872,4.375,4.375,0
-0.025115,1,6.364,4.5,4.5,0
-0.026353,1,6.5407,4.625,4.625,0
-0.02759,1,6.7175,4.75,4.75,0
-0.028825,1,6.8943,4.875,4.875,0
-0.030059,1,7.0711,5,5,0
-0.031047,1,7.2478,5.125,5.125,0
-0.032034,1,7.4246,5.25,5.25,0
-0.03302,1,7.6014,5.375,5.375,0
-0.034004,1,7.7782,5.5,5.5,0
-0.034988,1,7.955,5.625,5.625,0
-0.035971,1,8.1317,5.75,5.75,0
-0.036952,1,8.3085,5.875,5.875,0
-0.037933,1,8.4853,6,6,0
-0.038633,1,8.6621,6.125,6.125,0
-0.039333,1,8.8388,6.25,6.25,0
-0.040033,1,9.0156,6.375,6.375,0
-0.040731,1,9.1924,6.5,6.5,0
-0.041429,1,9.3692,6.625,6.625,0
-0.042126,1,9.5459,6.75,6.75,0
-0.042822,1,9.7227,6.875,6.875,0
-0.043518,1,9.8995,7,7,0
-0.043914,1,10.076,7.125,7.125,0
-0.04431,1,10.253,7.25,7.25,0
-0.044705,1,10.43,7.375,7.375,0
-0.045101,1,10.607,7.5,7.5,0
-0.045495,1,10.783,7.625,7.625,0
-0.045889,1,10.96,7.75,7.75,0
-0.046283,1,11.137,7.875,7.875,0
-0.046676,1,11.314,8,8,0
-0.046765,1,11.49,8.125,8.125,0
-0.046854,1,11.667,8.25,8.25,0
-0.046942,1,11.844,8.375,8.375,0
-0.047031,1,12.021,8.5,8.5,0
-0.047119,1,12.198,8.625,8.625,0
-0.047207,1,12.374,8.75,8.75,0
-0.047295,1,12.551,8.875,8.875,0
-0.047383,1,12.728,9,9,0
-0.047175,1,12.905,9.125,9.125,0
-0.046967,1,13.081,9.25,9.25,0
-0.046759,1,13.258,9.375,9.375,0
-0.046552,1,13.435,9.5,9.5,0
-0.046344,1,13.612,9.625,9.625,0
-0.046137,1,13.789,9.75,9.75,0
-0.04593,1,13.965,9.875,9.875,0
-0.045723,1,14.142,10,10,0
-0.045241,1,14.319,10.125,10.125,0
-0.044759,1,14.496,10.25,10.25,0
-0.044278,1,14.672,10.375,10.375,0
-0.043797,1,14.849,10.5,10.5,0
-0.043317,1,15.026,10.625,10.625,0
-0.042837,1,15.203,10.75,10.75,0
-0.042357,1,15.38,10.875,10.875,0
-0.041879,1,15.556,11,11,0
-0.041156,1,15.733,11.125,11.125,0
-0.040434,1,15.91,11.25,11.25,0
-0.039713,1,16.087,11.375,11.375,0
-0.038992,1,16.263,11.5,11.5,0
-0.038272,1,16.44,11.625,11.625,0
-0.037553,1,16.617,11.75,11.75,0
-0.036835,1,16.794,11.875,11.875,0
-0.036118,1,16.971,12,12,0
-0.035197,1,17.147,12.125,12.125,0
-0.034277,1,17.324,12.25,12.25,0
-0.033358,1,17.501,12.375,12.375,0
-0.03244,1,17.678,12.5,12.5,0
-0.031523,1,17.854,12.625,12.625,0
-0.030608,1,18.031,12.75,12.75,0
-0.029693,1,18.208,12.875,12.875,0
-0.028779,1,18.385,13,13,0
-0.027709,1,18.562,13.125,13.125,0
-0.02664,1,18.738,13.25,13.25,0
-0.025572,1,18.915,13.375,13.375,0
-0.024506,1,19.092,13.5,13.5,0
-0.023441,1,19.269,13.625,13.625,0
-0.022377,1,19.445,13.75,13.75,0
-0.021314,1,19.622,13.875,13.875,0
-0.020252,1,19.799,14,14,0
-0.019086,1,19.976,14.125,14.125,0
-0.017921,1,20.153,14.25,14.25,0
-0.016758,1,20.329,14.375,14.375,0
-0.015596,1,20.506,14.5,14.5,0
-0.014435,1,20.683,14.625,14.625,0
-0.013276,1,20.86,14.75,14.75,0
-0.012118,1,21.036,14.875,14.875,0
-0.010961,1,21.213,15,15,0
-0.0097532,1,21.39,15.125,15.125,0
-0.0085472,1,21.567,15.25,15.25,0
-0.0073425,1,21.744,15.375,15.375,0
-0.0061392,1,21.92,15.5,15.5,0
-0.0049373,1,22.097,15.625,15.625,0
-0.0037368,1,22.274,15.75,15.75,0
-0.0025376,1,22.451,15.875,15.875,0
-0.0013397,1,22.627,16,16,0
-0.00014475,1,22.804,16.125,16.125,0
0.0010488,1,22.981,16.25,16.25,0
0.0022411,1,23.158,16.375,16.375,0
0.0034319,1,23.335,16.5,16.5,0
0.0046214,1,23.511,16.625,16.625,0
0.0058095,1,23.688,16.75,16.75,0
0.0069962,1,23.865,16.875,16.875,0
0.0081815,1,24.042,17,17,0
0.0093134,1,24.218,17.125,17.125,0
0.010444,1,24.395,17.25,17.25,0
0.011573,1,24.572,17.375,17.375,0
0.012701,1,24.749,17.5,17.5,0
0.013827,1,24.926,17.625,17.625,0
0.014953,1,25.102,17.75,17.75,0
0.016077,1,25.279,17.875,17.875,0
0.017199,1,25.456,18,18,0
0.018222,1,25.633,18.125,18.125,0
0.019244,1,25.809,18.25,18.25,0
0.020265,1,25.986,18.375,18.375,0
0.021284,1,26.163,18.5,18.5,0
0.022303,1,26.34,18.625,18.625,0
0.02332,1,26.517,18.75,18.75,0
0.024336,1,26.693,18.875,18.875,0
0.02535,1,26.87,19,19,0
0.026226,1,27.047,19.125,19.125,0
0.027101,1,27.224,19.25,19.25,0
0.027974,1,27.4,19.375,19.375,0
0.028847,1,27.577,19.5,19.5,0
0.029719,1,27.754,19.625,19.625,0
0.030589,1,27.931,19.75,19.75,0
0.031459,1,28.107,19.875,19.875,0
0.032327,1,28.284,20,20,0
0.033025,1,28.461,20.125,20.125,0
0.033722,1,28.638,20.25,20.25,0
0.034419,1,28.815,20.375,20.375,0
0.035114,1,28.991,20.5,20.5,0
0.035809,1,29.168,20.625,20.625,0
0.036503,1,29.345,20.75,20.75,0
0.037196,1,29.522,20.875,20.875,0
0.037888,1,29.698,21,21,0
0.038387,1,29.875,21.125,21.125,0
0.038886,1,30.052,21.25,21.25,0
0.039384,1,30.229,21.375,21.375,0
0.039881,1,30.406,21.5,21.5,0
0.040378,1,30.582,21.625,21.625,0
0.040874,1,30.759,21.75,21.75,0
0.04137,1,30.936,21.875,21.875,0
0.041865,1,31.113,22,22,0
0.042154,1,31.289,22.125,22.125,0
0.042443,1,31.466,22.25,22.25,0
0.042731,1,31.643,22.375,22.375,0
0.04302,1,31.82,22.5,22.5,0
0.043307,1,31.997,22.625,22.625,0
0.043594,1,32.173,22.75,22.75,0
0.043881,1,32.35,22.875,22.875,0
0.044168,1,32.527,23,23,0
0.044246,1,32.704,23.125,23.125,0
0.044323,1,32.88,23.25,23.25,0
0.044401,1,33.057,23.375,23.375,0
0.044478,1,33.234,23.5,23.5,0
0.044555,1,33.411,23.625,23.625,0
0.044632,1,33.588,23.75,23.75,0
0.044709,1,33.764,23.875,23.875,0
0.044785,1,33.941,24,24,0
0.04466,1,34.118,24.125,24.125,0
0.044534,1,34.295,24.25,24.25,0
0.044409,1,34.471,24.375,24.375,0
0.044283,1,34.648,24.5,24.5,0
0.044158,1,34.825,24.625,24.625,0
0.044032,1,35.002,24.75,24.75,0
0.043907,1,35.179,24.875,24.875,0
0.043782,1,35.355,25,25,0
0.04347,1,35.532,25.125,25.125,0
0.043157,1,35.709,25.25,25.25,0
0.042846,1,35.886,25.375,25.375,0
0.042534,1,36.062,25.5,25.5,0
0.042223,1,36.239,25.625,25.625,0
0.041912,1,36.416,25.75,25.75,0
0.041601,1,36.593,25.875,25.875,0
0.041291,1,36.77,26,26,0
0.040816,1,36.946,26.125,26.125,0
0.040342,1,37.123,26.25,26.25,0
0.039868,1,37.3,26.375,26.375,0
0.039395,1,37.477,26.5,26.5,0
0.038923,1,37.653,26.625,26.625,0
0.038451,1,37.83,26.75,26.75,0
0.037979,1,38.007,26.875,26.875,0
0.037508,1,38.184,27,27,0
0.036902,1,38.361,27.125,27.125,0
0.036296,1,38.537,27.25,27.25,0
0.035691,1,38.714,27.375,27.375,0
0.035087,1,38.891,27.5,27.5,0
0.034483,1,39.068,27.625,27.625,0
0.03388,1,39.244,27.75,27.75,0
0.033278,1,39.421,27.875,27.875,0
0.032677,1,39.598,28,28,0
0.031974,1,39.775,28.125,28.125,0
0.031272,1,39.952,28.25,28.25,0
0.030571,1,40.128,28.375,28.375,0
0.029871,1,40.305,28.5,28.5,0
0.029172,1,40.482,28.625,28.625,0
0.028473,1,40.659,28.75,28.75,0
0.027776,1,40.835,28.875,28.875,0
0.027079,1,41.012,29,29,0
0.026318,1,41.189,29.125,29.125,0
0.025558,1,41.366,29.25,29.25,0
0.024799,1,41.543,29.375,29.375,0
0.024042,1,41.719,29.5,29.5,0
0.023285,1,41.896,29.625,29.625,0
0.022528,1,42.073,29.75,29.75,0
0.021773,1,42.25,29.875,29.875,0
0.021019,1,42.426,30,30,0
0.02024,1,42.603,30.125,30.125,0
0.019461,1,42.78,30.25,30.25,0
0.018683,1,42.957,30.375,30.375,0
0.017907,1,43.134,30.5,30.5,0
0.017131,1,43.31,30.625,30.625,0
0.016357,1,43.487,30.75,30.75,0
0.015583,1,43.664,30.875,30.875,0
0.01481,1,43.841,31,31,0
0.01405,1,44.017,31.125,31.125,0
0.013291,1,44.194,31.25,31.25,0
0.012534,1,44.371,31.375,31.375,0
0.011777,1,44.548,31.5,31.5,0
0.011021,1,44.725,31.625,31.625,0
0.010266,1,44.901,31.75,31.75,0
0.0095118,1,45.078,31.875,31.875,0
0.0087589,1,45.255,32,32,0
0.0080548,1,45.432,32.125,32.125,0
0.0073516,1,45.608,32.25,32.25,0
0.0066494,1,45.785,32.375,32.375,0
0.0059481,1,45.962,32.5,32.5,0
0.0052478,1,46.139,32.625,32.625,0
0.0045483,1,46.315,32.75,32.75,0
0.0038499,1,46.492,32.875,32.875,0
0.0031523,1,46.669,33,33,0
0.0025362,1,46.846,33.125,33.125,0
0.0019208,1,47.023,33.25,33.25,0
0.0013063,1,47.199,33.375,33.375,0
0.00069264,1,47.376,33.5,33.5,0
7.9807e-05,1,47.553,33.625,33.625,0
-0.00053219,1,47.73,33.75,33.75,0
-0.0011433,1,47.906,33.875,33.875,0
-0.0017537,1,48.083,34,34,0
-0.0022551,1,48.26,34.125,34.125,0
-0.0027559,1,48.437,34.25,34.25,0
-0.0032559,1,48.614,34.375,34.375,0
-0.0037553,1,48.79,34.5,34.5,0
-0.0042539,1,48.967,34.625,34.625,0
-0.0047519,1,49.144,34.75,34.75,0
-0.0052491,1,49.321,34.875,34.875,0
-0.0057457,1,49.497,35,35,0
-0.0061119,1,49.674,35.125,35.125,0
